prompt_id,family,tail,label,label_token,task_type,prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,prob_mass_digits
tri_v2_009,numeric_open,answer_colon,6,6,numeric,7.343282504734816e-06,6.544996722368523e-05,7.894772716099396e-05,3.969741010223515e-05,3.969741010223515e-05,2.5630575692048296e-05,1.0684413609851617e-05,1.0684413609851617e-05,3.6924345749866916e-06,2.7014427814719966e-06,0.00028452907736209454
tri_v2_010,numeric_open,answer_colon,2,2,numeric,1.0733991757660988e-06,3.3392465411452577e-05,3.3392465411452577e-05,6.640885112574324e-05,3.136931991321035e-05,2.2950282072997652e-05,9.567103006702382e-06,9.567103006702382e-06,2.917801111834706e-06,2.5749507130967686e-06,0.00021321374094895873
tri_v2_024,numeric_open,answer_colon,3,3,numeric,6.793149509576324e-07,2.888520793931093e-05,6.929201481398195e-05,2.5491102860542014e-05,4.473828448681161e-05,2.1132867914275266e-05,1.8649690900929272e-05,1.5461137081729248e-05,6.86083785694791e-06,5.343225893739145e-06,0.00023653368469922498
tri_v2_033,numeric_open,answer_colon,8,8,numeric,9.809126595428097e-07,3.918241418432444e-05,2.3765338482917286e-05,2.6929654268315062e-05,3.051529529329855e-05,2.6929654268315062e-05,2.5298069886048324e-05,2.097283686453011e-05,1.1225950402149465e-05,1.054580479831202e-05,0.00021634593110775313
tri_v2_044,numeric_open,answer_colon,2,2,numeric,4.540813733910909e-06,5.531843635253608e-05,5.196686106501147e-05,2.6130577680305578e-05,2.035051329585258e-05,1.795926618797239e-05,9.612902431399561e-06,9.612902431399561e-06,4.540813733910909e-06,3.5363891583983786e-06,0.00020356947607069742
tri_v2_046,numeric_open,answer_colon,1,1,numeric,1.8531171008362435e-05,5.037295341026038e-05,4.445397644303739e-05,3.462079257587902e-05,3.685363844851963e-05,2.0998571926611476e-05,2.6962698029819876e-05,1.9726330720004626e-05,1.2736277312797029e-05,7.724942406639457e-06,0.0002729813522819313
tri_v2_053,numeric_open,answer_colon,8,8,numeric,4.053352768096374e-06,5.956358654657379e-05,3.612714499467984e-05,3.188208938809112e-05,4.638816972146742e-05,3.3938311389647424e-05,2.813584615068976e-05,3.612714499467984e-05,1.706525290501304e-05,1.706525290501304e-05,0.00031034615176395164
tri_v2_057,numeric_open,answer_colon,7,7,numeric,5.006398282603186e-07,4.103320316062309e-05,2.0632793166441843e-05,1.7105185179389082e-05,2.1963491235510446e-05,1.820837496779859e-05,3.621167707024142e-05,2.3380016500595957e-05,2.3380016500595957e-05,1.1756211279134732e-05,0.00021417160888859144
tri_v2_066,numeric_open,answer_colon,9,9,numeric,6.513512289529899e-07,4.2896648665191606e-05,2.2960921342018992e-05,1.679857086855918e-05,3.556257070158608e-05,2.156978916900698e-05,2.948240944533609e-05,2.0262943507987075e-05,1.4824687241343781e-05,1.1545477718755137e-05,0.00021655536988873791
tri_v2_081,numeric_open,answer_colon,3,3,numeric,5.355764187697787e-06,6.129348184913397e-05,2.719881376833655e-05,2.8952987122465856e-05,3.9574042602907866e-05,2.719881376833655e-05,3.2808035030029714e-05,3.717637082445435e-05,2.400286939518992e-05,2.2548611013917252e-05,0.0003061097895624698
