run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,2,16200,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,16229,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,6083,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,1,1,11660,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,6421,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,8489,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,7344,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,10345,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,12698,4,"TX-01,TX-02,TX-03,TX-04"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,9026,4,"TX-01,TX-02,TX-03,TX-04"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,4855,3,"TX-01,TX-02,TX-03"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,1,11167,3,"TX-01,TX-02,TX-03"
gemma2-2b_Texas_capital_token_friendly_b59986544628,8,2,6513,3,"TX-03,TX-04,TX-05"
gemma2-2b_Texas_capital_token_friendly_b59986544628,24,17,4640,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,17,10940,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,25,17,3887,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,17,15770,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,4,16200,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,4,4,6028,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,16,17,14143,2,"TX-01,TX-02"
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,4,11375,2,"TX-03,TX-04"
gemma2-2b_Texas_capital_token_friendly_b59986544628,17,17,6448,1,TX-01
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,2,4982,1,TX-02
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,10,15770,1,TX-03
gemma2-2b_Texas_capital_token_friendly_b59986544628,17,10,6448,1,TX-03
gemma2-2b_Texas_capital_token_friendly_b59986544628,16,10,14143,1,TX-03
gemma2-2b_Texas_capital_token_friendly_b59986544628,24,10,4640,1,TX-03
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,5,8061,1,TX-03
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,7,6051,1,TX-03
gemma2-2b_Texas_capital_token_friendly_b59986544628,17,12,6448,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,16,12,14143,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,12,15770,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,8,9,6513,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,12,10940,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,12,9094,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,19,12,6538,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,24,12,4640,1,TX-04
gemma2-2b_Texas_capital_token_friendly_b59986544628,17,11,6448,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,11,15770,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,21,11,651,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,24,11,4640,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,11,10940,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,16,11,14143,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,11,14909,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,11,2940,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,4,14824,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,18,11,9094,1,TX-05
gemma2-2b_Texas_capital_token_friendly_b59986544628,0,11,16200,1,TX-05
