id,template,label,logit_true,logit_false,margin,predicted,correct
M-01,T1,True,23.125,21.125,2.0,True,True
M-02,T1,False,23.125,21.25,1.875,True,False
M-03,T1,True,23.25,21.375,1.875,True,True
M-04,T1,False,23.25,21.125,2.125,True,False
M-05,T1,True,23.25,21.375,1.875,True,True
M-06,T1,False,23.125,21.375,1.75,True,False
M-07,T1,True,24.375,22.125,2.25,True,True
M-08,T1,False,24.375,22.125,2.25,True,False
M-09,T1,True,23.5,21.5,2.0,True,True
M-10,T1,False,23.875,21.75,2.125,True,False
M-11,T1,True,23.5,21.625,1.875,True,True
M-12,T1,False,23.75,21.875,1.875,True,False
M-13,T1,True,23.75,21.875,1.875,True,True
M-14,T1,False,23.5,21.625,1.875,True,False
M-15,T1,True,24.0,21.75,2.25,True,True
M-16,T1,False,24.0,21.75,2.25,True,False
M-17,T1,True,23.875,22.0,1.875,True,True
M-18,T1,False,23.875,22.125,1.75,True,False
M-19,T1,True,23.25,21.5,1.75,True,True
M-20,T1,False,23.5,21.75,1.75,True,False
