run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,2,16200,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,16229,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,6083,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,1,11660,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,6421,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,6381,19,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,11167,17,"M-01,M-02,M-03,M-04,M-05,M-06,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,10345,16,"M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,8489,15,"M-01,M-02,M-03,M-04,M-05,M-06,M-09,M-10,M-11,M-12,M-14,M-15,M-16,M-17,M-18"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,4855,9,"M-02,M-03,M-04,M-05,M-06,M-09,M-10,M-15,M-16"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,27,6051,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,24,14349,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,27,4640,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,27,9223,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,26,13635,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,18,8922,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,27,2997,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,19,27,14265,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,27,3066,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,19,2158,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,3,2606,4,"M-01,M-02,M-03,M-04"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,7344,4,"M-01,M-02,M-03,M-04"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,23,6051,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,20,14349,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,23,4640,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,23,9223,4,"M-03,M-04,M-09,M-10"
