prompt_id,family,tail,label,task_type,prob_true,prob_false,prob_mass_tf
tri_v2_001,numeric_validity,answer_colon,False,binary,0.0066923522390425205,0.9932331442832947,0.9999254965223372
tri_v2_002,numeric_validity,answer_colon,True,binary,0.9849119186401367,0.014955096878111362,0.9998670155182481
tri_v2_003,numeric_validity,true_or_false,False,binary,0.8745065331459045,0.055905330926179886,0.9304118640720844
tri_v2_004,numeric_validity,true_or_false,True,binary,0.7450386881828308,0.0611565001308918,0.8061951883137226
tri_v2_005,numeric_validity,true_or_false,False,binary,0.7997031211853027,0.04511616379022598,0.8448192849755287
tri_v2_006,numeric_validity,answer_colon,True,binary,0.024419162422418594,0.9754199981689453,0.9998391605913639
tri_v2_007,numeric_validity,true_or_false,False,binary,0.8593571782112122,0.04278487339615822,0.9021420516073704
tri_v2_008,numeric_validity,the_answer_is,False,binary,0.1149568259716034,0.8494224548339844,0.9643792808055878
tri_v2_011,numeric_validity,true_or_false,True,binary,0.7700385451316833,0.05578140541911125,0.8258199505507946
tri_v2_012,geometry_claim,answer_colon,True,binary,0.9991083741188049,0.0007095412001945078,0.9998179153189994
tri_v2_013,geometry_claim,the_answer_is,True,binary,0.924781084060669,0.05911927670240402,0.983900360763073
tri_v2_014,numeric_validity,answer_colon,True,binary,0.9942370653152466,0.00555376335978508,0.9997908286750317
tri_v2_015,geometry_claim,answer_colon,True,binary,0.9991695880889893,0.0006665930850431323,0.9998361811740324
tri_v2_016,numeric_validity,true_or_false,True,binary,0.6234819293022156,0.08437909930944443,0.70786102861166
tri_v2_017,numeric_validity,true_or_false,True,binary,0.5823421478271484,0.06955084949731827,0.6518929973244667
tri_v2_018,numeric_validity,answer_colon,False,binary,0.005910576321184635,0.9940061569213867,0.9999167332425714
tri_v2_019,numeric_validity,the_answer_is,False,binary,0.008276257663965225,0.9566053152084351,0.9648815728724003
tri_v2_020,numeric_validity,true_or_false,False,binary,0.6418715715408325,0.05970335379242897,0.7015749253332615
tri_v2_021,numeric_validity,true_or_false,True,binary,0.7860115766525269,0.08284500986337662,0.8688565865159035
tri_v2_022,numeric_validity,true_or_false,True,binary,0.7838099598884583,0.056779008358716965,0.8405889682471752
tri_v2_023,geometry_claim,answer_colon,False,binary,0.10085306316614151,0.8988935947418213,0.9997466579079628
tri_v2_025,numeric_validity,true_or_false,True,binary,0.7838099598884583,0.056779008358716965,0.8405889682471752
tri_v2_026,numeric_validity,answer_colon,True,binary,0.03732171654701233,0.9625397324562073,0.9998614490032196
tri_v2_027,numeric_validity,answer_colon,True,binary,0.9781961441040039,0.0216111671179533,0.9998073112219572
tri_v2_028,numeric_validity,true_or_false,True,binary,0.6809512376785278,0.08132802695035934,0.7622792646288872
tri_v2_029,geometry_claim,answer_colon,False,binary,0.9321548938751221,0.06752507388591766,0.9996799677610397
tri_v2_030,numeric_validity,answer_colon,True,binary,0.050322096794843674,0.9495083093643188,0.9998304061591625
tri_v2_031,numeric_validity,the_answer_is,False,binary,0.022097771987318993,0.9396211504936218,0.9617189224809408
tri_v2_032,numeric_validity,true_or_false,False,binary,0.851690411567688,0.0544467456638813,0.9061371572315693
tri_v2_034,numeric_validity,answer_colon,False,binary,0.07584616541862488,0.9239954352378845,0.9998416006565094
tri_v2_035,numeric_validity,true_or_false,False,binary,0.8478425741195679,0.04783200845122337,0.8956745825707912
tri_v2_036,numeric_validity,true_or_false,True,binary,0.8110890984535217,0.04575851932168007,0.8568476177752018
tri_v2_037,numeric_validity,the_answer_is,True,binary,0.03200182318687439,0.9352303743362427,0.9672321975231171
tri_v2_038,numeric_validity,true_or_false,True,binary,0.6219667792320251,0.08417405188083649,0.7061408311128616
tri_v2_039,numeric_validity,answer_colon,False,binary,0.012430534698069096,0.9874796271324158,0.9999101618304849
tri_v2_040,geometry_claim,true_or_false,True,binary,0.6799660921096802,0.07166790217161179,0.751633994281292
tri_v2_041,numeric_validity,true_or_false,False,binary,0.796090841293335,0.0653471127152443,0.8614379540085793
tri_v2_042,numeric_validity,answer_colon,False,binary,0.02032937854528427,0.9795243144035339,0.9998536929488182
tri_v2_043,numeric_validity,the_answer_is,True,binary,0.6038503050804138,0.36625373363494873,0.9701040387153625
tri_v2_045,numeric_validity,true_or_false,False,binary,0.8391051292419434,0.047339074313640594,0.886444203555584
tri_v2_047,numeric_validity,true_or_false,True,binary,0.7612332701683044,0.04866401478648186,0.8098972849547863
tri_v2_048,numeric_validity,answer_colon,False,binary,0.005219350568950176,0.9946321249008179,0.999851475469768
tri_v2_049,numeric_validity,true_or_false,True,binary,0.7543299794197083,0.054643481969833374,0.8089734613895416
tri_v2_050,numeric_validity,true_or_false,False,binary,0.8999531269073486,0.04480602592229843,0.9447591528296471
tri_v2_051,numeric_validity,answer_colon,True,binary,0.9524253010749817,0.047418463975191116,0.9998437650501728
tri_v2_052,numeric_validity,answer_colon,False,binary,0.07584616541862488,0.9239954352378845,0.9998416006565094
tri_v2_054,numeric_validity,true_or_false,True,binary,0.8072240948677063,0.08508078753948212,0.8923048824071884
tri_v2_055,numeric_validity,answer_colon,False,binary,0.0216128621250391,0.9782729148864746,0.9998857770115137
tri_v2_056,numeric_validity,the_answer_is,True,binary,0.05630664899945259,0.8807842135429382,0.9370908625423908
tri_v2_058,numeric_validity,the_answer_is,False,binary,0.009487184695899487,0.9677190780639648,0.9772062627598643
tri_v2_059,geometry_claim,true_or_false,True,binary,0.7299580574035645,0.0599186047911644,0.7898766621947289
tri_v2_060,geometry_claim,true_or_false,False,binary,0.6715409159660339,0.08020412921905518,0.7517450451850891
tri_v2_061,numeric_validity,the_answer_is,False,binary,0.03180710971355438,0.9295400381088257,0.9613471478223801
tri_v2_062,numeric_validity,answer_colon,True,binary,0.025952158495783806,0.9738475680351257,0.9997997265309095
tri_v2_063,numeric_validity,the_answer_is,False,binary,0.0660489946603775,0.9117782711982727,0.9778272658586502
tri_v2_064,numeric_validity,the_answer_is,False,binary,0.08010181039571762,0.8611756563186646,0.9412774667143822
tri_v2_065,numeric_validity,answer_colon,True,binary,0.9968972206115723,0.0029806687962263823,0.9998778894077986
tri_v2_067,numeric_validity,true_or_false,False,binary,0.8648372292518616,0.04305770993232727,0.9078949391841888
tri_v2_068,numeric_validity,answer_colon,True,binary,0.9097248911857605,0.09007496386766434,0.9997998550534248
tri_v2_069,numeric_validity,the_answer_is,True,binary,0.9434505105018616,0.02514210343360901,0.9685926139354706
tri_v2_070,numeric_validity,true_or_false,False,binary,0.836770236492157,0.06061543524265289,0.8973856717348099
tri_v2_071,numeric_validity,answer_colon,False,binary,0.04741840064525604,0.9524240493774414,0.9998424500226974
tri_v2_072,geometry_claim,the_answer_is,True,binary,0.972126305103302,0.015712957829236984,0.987839262932539
tri_v2_073,numeric_validity,true_or_false,False,binary,0.758630096912384,0.037769969552755356,0.7964000664651394
