run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,2,16200,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,16229,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,1,1,11660,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,6083,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,6421,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,10345,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,6381,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,4855,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,8489,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,11167,5,"TX-01,TX-02,TX-03,TX-04,TX-05"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,1,7344,4,"TX-01,TX-02,TX-03,TX-04"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,24,26,4640,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,26,6051,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,1,23,14349,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,2,25,13635,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,21,26,2997,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,17,8922,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,18,2158,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,20,26,9550,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,25,26,13971,2,"TX-01,TX-02"
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,19,6051,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,24,19,4640,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,2,18,13635,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,21,19,2997,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,1,16,14349,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,11,2158,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,16,19,9223,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,10,8922,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,20,19,9550,1,TX-03
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,21,6051,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,24,21,4640,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,1,18,14349,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,2,20,13635,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,21,21,2997,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,13,2158,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,12,8922,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,16,21,9223,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,20,21,9550,1,TX-04
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,20,6051,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,2,19,13635,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,1,17,14349,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,24,20,4640,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,21,20,2997,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,12,2158,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,11,8922,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,16,20,9223,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,20,20,9550,1,TX-05
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,0,16,16200,1,TX-05
