prompt_id,family,tail,label,jaccard,n_base,n_lora,n_shared
tri_v2_001,numeric_validity,answer_colon,false,0.3793103448275862,20,20,11
tri_v2_002,numeric_validity,answer_colon,true,0.25,20,20,8
tri_v2_003,numeric_validity,true_or_false,false,0.46153846153846156,19,19,12
tri_v2_004,numeric_validity,true_or_false,true,0.44,19,17,11
tri_v2_005,numeric_validity,true_or_false,false,0.5,19,17,12
tri_v2_006,numeric_validity,answer_colon,true,0.42857142857142855,20,20,12
tri_v2_007,numeric_validity,true_or_false,false,0.3793103448275862,20,20,11
tri_v2_008,numeric_validity,the_answer_is,false,0.3793103448275862,20,20,11
tri_v2_009,numeric_open,answer_colon,true,0.11428571428571428,19,20,4
tri_v2_010,numeric_open,answer_colon,true,0.15151515151515152,19,19,5
tri_v2_011,numeric_validity,true_or_false,true,0.3448275862068966,20,19,10
tri_v2_012,geometry_claim,answer_colon,true,0.3,19,20,9
tri_v2_013,geometry_claim,the_answer_is,true,0.2903225806451613,20,20,9
tri_v2_014,numeric_validity,answer_colon,true,0.48148148148148145,20,20,13
tri_v2_015,geometry_claim,answer_colon,true,0.25806451612903225,19,20,8
tri_v2_016,numeric_validity,true_or_false,true,0.46153846153846156,19,19,12
tri_v2_017,numeric_validity,true_or_false,true,0.46153846153846156,19,19,12
tri_v2_018,numeric_validity,answer_colon,false,0.48148148148148145,20,20,13
tri_v2_019,numeric_validity,the_answer_is,false,0.3333333333333333,20,20,10
tri_v2_020,numeric_validity,true_or_false,false,0.48,19,18,12
tri_v2_021,numeric_validity,true_or_false,true,0.38461538461538464,19,17,10
tri_v2_022,numeric_validity,true_or_false,true,0.39285714285714285,20,19,11
tri_v2_023,geometry_claim,answer_colon,false,0.4444444444444444,19,20,12
tri_v2_024,numeric_open,answer_colon,true,0.11428571428571428,19,20,4
tri_v2_025,numeric_validity,true_or_false,true,0.39285714285714285,20,19,11
tri_v2_026,numeric_validity,answer_colon,true,0.3333333333333333,20,20,10
tri_v2_027,numeric_validity,answer_colon,true,0.48148148148148145,20,20,13
tri_v2_028,numeric_validity,true_or_false,true,0.4230769230769231,19,18,11
tri_v2_029,geometry_claim,answer_colon,false,0.3,19,20,9
tri_v2_030,numeric_validity,answer_colon,true,0.3333333333333333,20,20,10
tri_v2_031,numeric_validity,the_answer_is,false,0.3,19,20,9
tri_v2_032,numeric_validity,true_or_false,false,0.5416666666666666,19,18,13
tri_v2_033,numeric_open,answer_colon,true,0.05405405405405406,19,20,2
tri_v2_034,numeric_validity,answer_colon,false,0.5384615384615384,20,20,14
