run_id,id,label,intervention,scope,direction,feature_key,margin_before,margin_after,delta_margin,predicted_before,predicted_after,flipped
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_2x,group,aligned,,0.875,0.25,-0.625,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_5x,group,aligned,,0.875,0.25,-0.625,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,ablate,group,aligned,,0.875,0.625,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_2x,group,opposed,,0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_5x,group,opposed,,0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,ablate,group,opposed,,0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_2x,single,aligned,"(0, 2, 16200)",0.875,0.625,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_5x,single,aligned,"(0, 2, 16200)",0.875,0.125,-0.75,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,ablate,single,aligned,"(0, 2, 16200)",0.875,0.625,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_2x,single,aligned,"(1, 1, 11660)",0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_5x,single,aligned,"(1, 1, 11660)",0.875,0.375,-0.5,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,ablate,single,aligned,"(1, 1, 11660)",0.875,0.75,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_2x,single,aligned,"(0, 1, 6083)",0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,amplify_5x,single,aligned,"(0, 1, 6083)",0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,True,ablate,single,aligned,"(0, 1, 6083)",0.875,0.75,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,False,amplify_2x,group,aligned,,0.5,0.5,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,False,amplify_5x,group,aligned,,0.5,0.5,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,False,ablate,group,aligned,,0.5,0.5,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,False,amplify_2x,group,opposed,,0.5,-0.125,-0.625,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,False,amplify_5x,group,opposed,,0.5,0.0,-0.5,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,False,ablate,group,opposed,,0.5,0.0,-0.5,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_2x,group,aligned,,1.125,0.375,-0.75,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_5x,group,aligned,,1.125,0.375,-0.75,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,ablate,group,aligned,,1.125,0.875,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_2x,group,opposed,,1.125,1.125,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_5x,group,opposed,,1.125,1.125,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,ablate,group,opposed,,1.125,1.125,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_2x,single,aligned,"(0, 2, 16200)",1.125,0.75,-0.375,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_5x,single,aligned,"(0, 2, 16200)",1.125,0.5,-0.625,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,ablate,single,aligned,"(0, 2, 16200)",1.125,0.875,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_2x,single,aligned,"(1, 1, 11660)",1.125,1.25,0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_5x,single,aligned,"(1, 1, 11660)",1.125,0.625,-0.5,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,ablate,single,aligned,"(1, 1, 11660)",1.125,1.125,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_2x,single,aligned,"(0, 1, 6083)",1.125,1.125,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,amplify_5x,single,aligned,"(0, 1, 6083)",1.125,1.0,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,True,ablate,single,aligned,"(0, 1, 6083)",1.125,1.125,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,False,amplify_2x,group,aligned,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,False,amplify_5x,group,aligned,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,False,ablate,group,aligned,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,False,amplify_2x,group,opposed,,0.25,-0.25,-0.5,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,False,amplify_5x,group,opposed,,0.25,0.0,-0.25,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,False,ablate,group,opposed,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_2x,group,aligned,,0.25,-0.125,-0.375,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_5x,group,aligned,,0.25,0.375,0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,ablate,group,aligned,,0.25,0.125,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_2x,group,opposed,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_5x,group,opposed,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,ablate,group,opposed,,0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_2x,single,aligned,"(0, 2, 16200)",0.25,0.0,-0.25,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_5x,single,aligned,"(0, 2, 16200)",0.25,-0.125,-0.375,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,ablate,single,aligned,"(0, 2, 16200)",0.25,0.125,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_2x,single,aligned,"(1, 1, 11660)",0.25,0.375,0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_5x,single,aligned,"(1, 1, 11660)",0.25,-0.25,-0.5,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,ablate,single,aligned,"(1, 1, 11660)",0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_2x,single,aligned,"(0, 1, 16229)",0.25,0.375,0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,amplify_5x,single,aligned,"(0, 1, 16229)",0.25,0.125,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,True,ablate,single,aligned,"(0, 1, 16229)",0.25,0.25,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-06,False,amplify_2x,group,aligned,,0.375,0.375,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-06,False,amplify_5x,group,aligned,,0.375,0.375,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-06,False,ablate,group,aligned,,0.375,0.375,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-06,False,amplify_2x,group,opposed,,0.375,0.125,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-06,False,amplify_5x,group,opposed,,0.375,0.25,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-06,False,ablate,group,opposed,,0.375,0.375,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_2x,group,aligned,,0.875,0.375,-0.5,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_5x,group,aligned,,0.875,0.375,-0.5,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,ablate,group,aligned,,0.875,0.625,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_2x,group,opposed,,0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_5x,group,opposed,,0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,ablate,group,opposed,,0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_2x,single,aligned,"(0, 2, 16200)",0.875,0.625,-0.25,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_5x,single,aligned,"(0, 2, 16200)",0.875,-0.125,-1.0,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,ablate,single,aligned,"(0, 2, 16200)",0.875,0.75,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_2x,single,aligned,"(1, 1, 11660)",0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_5x,single,aligned,"(1, 1, 11660)",0.875,0.375,-0.5,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,ablate,single,aligned,"(1, 1, 11660)",0.875,0.75,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_2x,single,aligned,"(0, 1, 6083)",0.875,0.75,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,amplify_5x,single,aligned,"(0, 1, 6083)",0.875,0.75,-0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-07,True,ablate,single,aligned,"(0, 1, 6083)",0.875,0.875,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-08,False,amplify_2x,group,aligned,,0.5,0.5,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-08,False,amplify_5x,group,aligned,,0.5,0.5,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-08,False,ablate,group,aligned,,0.5,0.5,0.0,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-08,False,amplify_2x,group,opposed,,0.5,0.0,-0.5,True,False,True
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-08,False,amplify_5x,group,opposed,,0.5,0.625,0.125,True,True,False
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-08,False,ablate,group,opposed,,0.5,0.25,-0.25,True,True,False
