run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,1,0,2,16200,3.532e-05,1.0,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,2,0,31,6051,2.928e-05,0.828921,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,3,24,31,4640,2.719e-05,0.769689,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,4,1,28,14349,2.586e-05,0.732055,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,5,0,1,16229,2.504e-05,0.708909,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,6,1,1,11660,2.261e-05,0.640174,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,7,16,31,9223,2.101e-05,0.594921,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,8,2,30,13635,2.064e-05,0.584439,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,9,0,1,6083,2.056e-05,0.582035,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,10,21,31,2997,1.766e-05,0.499994,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,11,0,22,8922,1.757e-05,0.497527,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,12,0,1,6421,1.546e-05,0.43756,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,13,18,31,3066,1.485e-05,0.420315,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,14,0,23,2158,1.46e-05,0.413464,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,15,0,1,6381,1.413e-05,0.399983,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,16,0,1,11167,1.381e-05,0.391077,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,17,0,5,10815,1.38e-05,0.39068,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,18,0,1,8489,1.377e-05,0.389943,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,19,0,1,10345,1.342e-05,0.380004,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-01,20,0,1,4855,1.337e-05,0.378531,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,1,0,2,16200,3.038e-05,1.0,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,2,0,31,6051,2.476e-05,0.81507,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,3,24,31,4640,2.408e-05,0.792489,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,4,1,28,14349,2.231e-05,0.73445,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,5,0,1,16229,2.158e-05,0.710174,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,6,1,1,11660,1.945e-05,0.640319,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,7,2,30,13635,1.793e-05,0.590148,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,8,0,1,6083,1.776e-05,0.584449,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,9,16,31,9223,1.758e-05,0.578569,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,10,0,22,8922,1.519e-05,0.499997,pos
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,TI-02,11,21,31,2997,1.464e-05,0.481867,pos
