run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,2,16200,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,1,1,11660,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,6083,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,16229,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,6421,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,8489,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,7344,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,11167,7,"TI-01,TI-02,TI-03,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,4855,7,"TI-01,TI-02,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,10345,7,"TI-01,TI-02,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,5,10815,4,"TI-01,TI-02,TI-03,TI-06"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,23,15770,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,16,23,14143,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,23,3304,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,23,6448,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,24,23,4640,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,23,16200,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,23,2940,2,"TI-01,TI-02"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,26,15770,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,26,6448,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,16,26,14143,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,26,3304,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,24,26,4640,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,26,10940,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,26,9094,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,26,16200,2,"TI-03,TI-08"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,28,3304,2,"TI-04,TI-06"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,16,28,14143,2,"TI-04,TI-06"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,28,9094,2,"TI-04,TI-06"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,24,28,4640,2,"TI-04,TI-06"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,3,14562,2,"TI-04,TI-06"
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,22,23,10813,1,TI-01
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,23,9094,1,TI-01
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,23,15506,1,TI-02
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,1,6381,1,TI-02
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,20,26,51,1,TI-03
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,8,23,6513,1,TI-03
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,22,26,10813,1,TI-03
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,28,6538,1,TI-04
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,8,25,6513,1,TI-04
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,23,28,2692,1,TI-04
