run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,1,0,2,16200,3.532e-05,1.0,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,2,0,31,6051,2.928e-05,0.828908,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,3,24,31,4640,2.718e-05,0.769675,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,4,1,28,14349,2.585e-05,0.73203,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,5,0,1,16229,2.504e-05,0.708921,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,6,1,1,11660,2.261e-05,0.640184,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,7,16,31,9223,2.101e-05,0.594907,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,8,2,30,13635,2.064e-05,0.584429,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,9,0,1,6083,2.056e-05,0.582052,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,10,21,31,2997,1.766e-05,0.499985,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,11,0,22,8922,1.757e-05,0.497526,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,12,0,1,6421,1.545e-05,0.437578,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,13,18,31,3066,1.484e-05,0.420308,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,14,0,23,2158,1.46e-05,0.413475,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,15,0,1,6381,1.413e-05,0.399987,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,16,0,1,11167,1.381e-05,0.391084,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,17,0,5,10815,1.38e-05,0.390676,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,18,0,1,8489,1.377e-05,0.389953,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,19,0,1,10345,1.342e-05,0.380016,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-01,20,0,1,4855,1.337e-05,0.378536,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,1,0,2,16200,3.038e-05,1.0,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,2,0,31,6051,2.476e-05,0.815017,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,3,24,31,4640,2.407e-05,0.792445,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,4,1,28,14349,2.231e-05,0.734417,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,5,0,1,16229,2.157e-05,0.710133,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,6,1,1,11660,1.945e-05,0.640288,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,7,2,30,13635,1.793e-05,0.590119,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,8,0,1,6083,1.775e-05,0.584422,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,9,16,31,9223,1.757e-05,0.578538,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,10,0,22,8922,1.519e-05,0.499979,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,11,21,31,2997,1.464e-05,0.481841,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,12,0,1,6421,1.329e-05,0.437641,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,13,0,23,2158,1.255e-05,0.413226,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,14,18,31,3066,1.239e-05,0.407835,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,15,0,1,6381,1.215e-05,0.399844,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,16,0,1,11167,1.203e-05,0.395875,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,17,0,1,8489,1.193e-05,0.392804,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,18,0,5,10815,1.192e-05,0.392347,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,19,0,1,10345,1.162e-05,0.382386,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-02,20,0,1,4855,1.161e-05,0.382279,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,1,0,2,16200,3.683e-05,1.0,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,2,0,34,6051,3.102e-05,0.842267,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,3,24,34,4640,2.861e-05,0.776654,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,4,1,31,14349,2.726e-05,0.740181,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,5,0,1,16229,2.592e-05,0.703732,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,6,1,1,11660,2.385e-05,0.64748,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,7,2,33,13635,2.238e-05,0.607494,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,8,16,34,9223,2.171e-05,0.589455,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,9,0,1,6083,2.136e-05,0.579791,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,10,21,34,2997,1.892e-05,0.513513,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,11,0,25,8922,1.827e-05,0.496111,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,12,0,1,6421,1.606e-05,0.436104,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,13,18,34,3066,1.588e-05,0.431114,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,14,8,23,6513,1.486e-05,0.403443,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,15,0,26,2158,1.482e-05,0.402217,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,16,0,1,6381,1.475e-05,0.400541,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,17,0,5,10815,1.456e-05,0.395358,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,18,0,1,11167,1.428e-05,0.387696,pos
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,TI-03,19,0,1,8489,1.417e-05,0.384784,pos
