run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,2,16200,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,16229,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,1,1,11660,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,6083,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,6421,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,11167,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,6381,7,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,8489,6,"TI-01,TI-02,TI-03,TI-04,TI-07,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,10345,5,"TI-01,TI-02,TI-05,TI-06,TI-08"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,5,10815,4,"TI-01,TI-02,TI-03,TI-06"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,1,4855,4,"TI-01,TI-02,TI-05,TI-07"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,0,31,6051,2,"TI-01,TI-02"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,24,31,4640,2,"TI-01,TI-02"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,1,28,14349,2,"TI-01,TI-02"
gemma2-2b_Phase_1_pilot_question_bank_90af04a08f99,16,31,9223,2,"TI-01,TI-02"
