run_id,layer,position,feature_idx,frequency,question_ids
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,2,16200,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,16229,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,1,1,11660,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,6083,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,6421,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,11167,8,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-06,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,6381,7,"TI-01,TI-02,TI-03,TI-04,TI-05,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,8489,6,"TI-01,TI-02,TI-03,TI-04,TI-07,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,10345,5,"TI-01,TI-02,TI-05,TI-06,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,5,10815,4,"TI-01,TI-02,TI-03,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,1,4855,4,"TI-01,TI-02,TI-05,TI-07"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,31,6051,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,24,31,4640,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,1,28,14349,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,16,31,9223,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,2,30,13635,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,21,31,2997,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,22,8922,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,18,31,3066,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,23,2158,2,"TI-01,TI-02"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,34,6051,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,24,34,4640,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,1,31,14349,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,2,33,13635,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,16,34,9223,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,21,34,2997,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,25,8922,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,18,34,3066,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,26,2158,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,30,16200,2,"TI-03,TI-08"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,36,6051,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,1,33,14349,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,24,36,4640,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,16,36,9223,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,2,35,13635,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,8,25,6513,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,21,36,2997,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,27,8922,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,18,36,3066,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,32,16200,2,"TI-04,TI-06"
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,8,23,6513,1,TI-03
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,28,2158,1,TI-04
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,20,36,9550,1,TI-04
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,33,6051,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,1,30,14349,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,24,33,4640,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,16,33,9223,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,2,32,13635,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,21,33,2997,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,24,8922,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,18,33,3066,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,19,33,14265,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,20,33,9550,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,25,2158,1,TI-05
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,19,36,14265,1,TI-06
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,18,36,12875,1,TI-06
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,35,6051,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,1,32,14349,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,24,35,4640,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,16,35,9223,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,26,8922,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,2,34,13635,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,21,35,2997,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,8,24,6513,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,18,35,3066,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,0,27,2158,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,20,35,9550,1,TI-07
20260426_080408_gemma2-2b_Phase_1_pilot_question_b,20,34,9550,1,TI-08
