prompt_id,family,tail,label,label_token,task_type,prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,prob_mass_digits
tri_v2_009,numeric_open,answer_colon,6,6,numeric,4.45507839685888e-06,2.9050761440885253e-05,2.7290663638268597e-05,2.2624753910349682e-05,3.504190317471512e-05,5.427396536106244e-05,1.1990681514362223e-06,1.5396338994833059e-06,4.998459530725086e-07,2.5133832082246954e-07,0.00017622701224695447
tri_v2_010,numeric_open,answer_colon,2,2,numeric,2.8789057182621036e-07,1.7811158613767475e-05,1.1499747415655293e-05,5.1538296247599646e-05,1.0148492037842516e-05,6.552359081979375e-06,1.2902360140287783e-06,1.1386292726456304e-06,2.7044811190535256e-07,3.064579061629047e-07,0.00010084371527341318
tri_v2_024,numeric_open,answer_colon,3,3,numeric,1.3900577755521226e-07,5.910676009079907e-06,2.196082641603425e-05,5.216153112996835e-06,3.401359208510257e-05,1.1042596270272043e-05,3.816219305008417e-06,2.042674850599724e-06,7.059295512590325e-07,3.778568498091772e-07,8.522553022771717e-05
tri_v2_033,numeric_open,answer_colon,8,8,numeric,2.582266631634411e-07,1.810308822314255e-05,5.186621365282917e-06,1.810308822314255e-05,2.0513487470452674e-05,2.6339839678257704e-05,1.597591835889034e-05,7.546489541709889e-06,5.186621365282917e-06,5.186621365282917e-06,0.0001224000022546079
tri_v2_044,numeric_open,answer_colon,2,2,numeric,3.050294253625907e-06,0.00016654041246511042,7.390185783151537e-05,1.4552140783052891e-05,5.698700078937691e-06,1.36704693431966e-05,1.7380052668158896e-06,1.8500970782042714e-06,6.006385433465766e-07,6.006385433465766e-07,0.0002822032541871522
tri_v2_046,numeric_open,answer_colon,1,1,numeric,1.9573890313040465e-05,6.418031989596784e-05,3.0316632546600886e-05,4.411044574226253e-05,4.411044574226253e-05,3.0316632546600886e-05,5.3207349992590025e-05,2.2180121959536336e-05,2.847984251275193e-05,1.1152866136399098e-05,0.0003476285473880125
tri_v2_053,numeric_open,answer_colon,8,8,numeric,1.1264063459748286e-06,4.789601734955795e-05,1.3722437870455906e-05,1.2891037840745412e-05,3.0923991289455444e-05,4.2268085962859914e-05,1.5549559975625016e-05,3.291841858299449e-05,9.431284524907824e-06,1.3722437870455906e-05,0.0002204496776130327
tri_v2_057,numeric_open,answer_colon,7,7,numeric,7.98075490138217e-08,1.2608394172275439e-05,4.093346433364786e-06,6.7487872001947835e-06,8.665614586789161e-06,8.665614586789161e-06,2.2128422642708756e-05,7.647377060493454e-06,9.819426850299351e-06,4.357344550953712e-06,8.481413563288243e-05
tri_v2_066,numeric_open,answer_colon,9,9,numeric,1.5742395476081583e-07,1.6057680113590322e-05,6.288277745625237e-06,4.321866072132252e-06,3.19345090247225e-05,1.936926128109917e-05,2.0618470443878323e-05,7.125553111109184e-06,9.149391189566813e-06,4.897316102869809e-06,0.00011991974903935443
tri_v2_081,numeric_open,answer_colon,3,3,numeric,5.169036285224138e-06,0.00014190904039423913,2.6250532755511813e-05,2.1762456526630558e-05,5.55723745492287e-05,4.065762186655775e-05,6.297176150837913e-05,6.703309190925211e-05,9.753256745170802e-05,5.2205417887307703e-05,0.000571063901134039
