id,template,label,margin_replacement,margin_raw,predicted_replacement,predicted_raw,agree_prediction,delta_margin_repl_minus_raw
TI-01,T1,True,0.875,0.75,True,True,True,0.125
TI-01,T2,True,2.0,1.875,True,True,True,0.125
TI-02,T1,False,0.5,0.375,True,True,True,0.125
TI-02,T2,False,1.875,1.875,True,True,True,0.0
TI-03,T1,True,1.125,1.125,True,True,True,0.0
TI-03,T2,True,2.0,2.0,True,True,True,0.0
TI-04,T1,False,0.25,0.25,True,True,True,0.0
TI-04,T2,False,2.0,2.0,True,True,True,0.0
TI-05,T1,True,0.25,0.25,True,True,True,0.0
TI-05,T2,True,1.75,1.75,True,True,True,0.0
TI-06,T1,False,0.375,0.375,True,True,True,0.0
TI-06,T2,False,1.75,1.625,True,True,True,0.125
TI-07,T1,True,0.875,1.0,True,True,True,-0.125
TI-07,T2,True,2.0,2.0,True,True,True,0.0
TI-08,T1,False,0.5,0.625,True,True,True,-0.125
TI-08,T2,False,2.25,2.25,True,True,True,0.0
