id,template,label,margin_replacement,margin_raw,predicted_replacement,predicted_raw,agree_prediction,delta_margin_repl_minus_raw
M-01,T1,True,2.0,2.0,True,True,True,0.0
M-02,T1,False,1.875,1.875,True,True,True,0.0
M-03,T1,True,1.875,1.875,True,True,True,0.0
M-04,T1,False,2.125,2.0,True,True,True,0.125
M-05,T1,True,1.875,1.875,True,True,True,0.0
M-06,T1,False,1.75,1.875,True,True,True,-0.125
M-07,T1,True,2.25,2.25,True,True,True,0.0
M-08,T1,False,2.25,2.25,True,True,True,0.0
M-09,T1,True,2.0,2.0,True,True,True,0.0
M-10,T1,False,2.125,2.125,True,True,True,0.0
M-11,T1,True,1.875,1.875,True,True,True,0.0
M-12,T1,False,1.875,1.75,True,True,True,0.125
M-13,T1,True,1.875,1.875,True,True,True,0.0
M-14,T1,False,1.875,1.875,True,True,True,0.0
M-15,T1,True,2.25,2.25,True,True,True,0.0
M-16,T1,False,2.25,2.25,True,True,True,0.0
M-17,T1,True,1.875,1.875,True,True,True,0.0
M-18,T1,False,1.75,1.625,True,True,True,0.125
M-19,T1,True,1.75,1.75,True,True,True,0.0
M-20,T1,False,1.75,1.75,True,True,True,0.0
