prompt_id,family,tail,label,label_token,task_type,prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,prob_mass_digits
tri_v2_009,numeric_open,answer_colon,6,6,numeric,1.7283823677827215e-11,1.277111472131054e-10,1.199735172319194e-10,1.3594780856607258e-10,2.2766971641274836e-10,2.017644185059453e-08,0.9999998807907104,5.634879784999214e-10,6.188704548826252e-10,4.058651470462138e-10,0.9999999031839619
tri_v2_010,numeric_open,answer_colon,2,2,numeric,2.6465643010453732e-09,2.896214823522314e-07,0.9999964237213135,5.804984652968415e-07,7.237464672016358e-08,4.2051173210211346e-08,4.511432294407314e-08,5.570875316607271e-08,1.3259837317036727e-07,2.224946058504429e-07,0.9999978668297005
tri_v2_024,numeric_open,answer_colon,3,3,numeric,1.5737100858559394e-11,1.1929041088265535e-09,3.3455820336314446e-09,0.9999998807907104,4.644880924331574e-09,4.397684882917474e-09,1.4845930040863209e-09,2.093611728426481e-09,3.293713524143982e-09,1.022492313040857e-08,0.9999999114843409
tri_v2_033,numeric_open,answer_colon,8,8,numeric,1.4247196478134327e-10,2.34015717914815e-09,8.934432638163514e-10,3.581744900671424e-10,2.312548208482923e-10,9.490679769852406e-11,1.1119081211319326e-09,2.377364261008097e-08,0.9999991655349731,1.8266247536757874e-07,0.9999993771434078
tri_v2_044,numeric_open,answer_colon,2,2,numeric,9.343527340721636e-11,1.1979280145624216e-07,0.9999977350234985,1.3287760793900816e-06,1.6631581445381016e-07,5.484514176146149e-08,1.562392526466283e-07,3.6821287352495347e-08,2.6165150757151423e-07,2.5505357825750252e-08,0.9999998850641763
tri_v2_046,numeric_open,answer_colon,1,1,numeric,1.6880242759143016e-09,1.0,1.1811350508761365e-10,1.7730938939308771e-10,6.76844301092383e-12,3.0334058181979984e-11,6.1627378547535194e-12,4.4135792243160665e-11,2.5946095966178362e-11,3.2612185174585306e-10,1.000000002422916
tri_v2_053,numeric_open,answer_colon,8,8,numeric,2.0848222453961895e-11,2.4235258244686975e-10,2.7036384242506983e-10,4.422857080577103e-10,1.5404867659274402e-10,3.2290354418096356e-11,5.905289035545991e-10,7.658095491080985e-09,0.9999974966049194,1.5741761227872075e-09,0.9999975075899094
tri_v2_057,numeric_open,answer_colon,7,7,numeric,5.130613711656906e-10,1.2787403136371722e-08,4.004136133772818e-09,1.9212054169770454e-09,4.819765697661182e-10,1.7907602067879225e-09,5.041967732211106e-09,0.9999994039535522,1.967059048979536e-08,4.441502454710644e-08,0.9999994945796779
tri_v2_066,numeric_open,answer_colon,9,9,numeric,6.691582288276265e-10,2.6110244633059665e-08,4.1225639568764905e-10,8.327808997954378e-10,1.6398428448471947e-10,7.823252046179618e-10,4.671477094042586e-10,6.093664683959332e-09,8.105600102226163e-08,0.9999994039535522,0.9999995205411153
tri_v2_081,numeric_open,answer_colon,3,3,numeric,8.966730136172885e-12,3.1118763121895654e-10,3.0048235011292945e-09,0.9999998807907104,2.9640214727066905e-09,9.510661147515975e-10,9.640142850653177e-11,9.075135642966359e-10,1.1811349120982584e-10,7.946454050333784e-10,0.9999998899474498
tri_v2_088,numeric_open,answer_colon,3,3,numeric,2.594607514949665e-11,1.3412171373516912e-09,7.379128863505002e-09,0.9999991655349731,2.0494159258532818e-08,1.914286400506171e-07,2.6362534377710745e-09,1.9863623634819305e-08,9.21804133025006e-10,2.550539512924388e-08,0.9999994351311408
tri_v2_089,numeric_open,answer_colon,8,8,numeric,1.2186263109725815e-10,5.2684741014275005e-09,1.2999510357047939e-09,1.3517352792646875e-09,1.6305038430530772e-09,8.864895484350654e-10,1.28249082465004e-08,1.2751884526096546e-07,0.9999983310699463,1.0738163069845541e-07,0.9999985893543469
tri_v2_104,numeric_open,answer_colon,5,5,numeric,3.3698095854538257e-13,4.041622071737638e-12,2.4654052670908255e-13,1.4868295396958109e-12,1.0731772241701076e-11,1.0,2.193431720975969e-11,9.397053447879333e-12,1.7934588276286023e-12,7.491983596008556e-12,1.0000000000574605
tri_v2_118,numeric_open,answer_colon,6,6,numeric,1.4930917613398265e-10,9.530660705081573e-09,4.163636546650196e-09,9.833195591113508e-09,2.525373243855711e-09,2.081687355826034e-08,0.9999980926513672,6.37554023796838e-07,3.9349480118744395e-08,3.432122497315504e-08,0.999998850895145
