run_id,id,label,intervention,scope,direction,feature_key,margin_before,margin_after,delta_margin,predicted_before,predicted_after,flipped
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,amplify_5x,group,aligned,,2.0,2.5,0.5,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,ablate,group,aligned,,2.0,2.125,0.125,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,amplify_5x,group,opposed,,2.0,2.0,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,ablate,group,opposed,,2.0,2.0,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,amplify_5x,single,aligned,"(0, 2, 16200)",2.0,2.25,0.25,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,ablate,single,aligned,"(0, 2, 16200)",2.0,2.0,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,amplify_5x,single,aligned,"(0, 1, 16229)",2.0,2.125,0.125,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,ablate,single,aligned,"(0, 1, 16229)",2.0,2.0,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,amplify_5x,single,aligned,"(0, 1, 6083)",2.0,2.0,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,True,ablate,single,aligned,"(0, 1, 6083)",2.0,2.0,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,False,amplify_5x,group,aligned,,1.875,1.875,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,False,ablate,group,aligned,,1.875,1.875,0.0,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,False,amplify_5x,group,opposed,,1.875,2.5,0.625,True,True,False
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,False,ablate,group,opposed,,1.875,2.0,0.125,True,True,False
