id,template,label,logit_true_raw,logit_false_raw,margin_raw,predicted_raw,correct_raw
TI-01,T1,True,24.125,22.125,2.0,True,True
TI-01,T2,True,22.625,20.625,2.0,True,True
TI-01,T3,True,23.625,22.125,1.5,True,True
TI-02,T1,False,24.0,22.125,1.875,True,False
TI-02,T2,False,22.5,20.5,2.0,True,False
TI-02,T3,False,23.75,22.25,1.5,True,False
TI-03,T1,True,24.125,22.125,2.0,True,True
TI-03,T2,True,22.625,20.5,2.125,True,True
TI-03,T3,True,23.75,22.25,1.5,True,True
TI-04,T1,False,23.875,22.0,1.875,True,False
TI-04,T2,False,22.625,20.25,2.375,True,False
TI-04,T3,False,23.875,22.5,1.375,True,False
TI-05,T1,True,23.875,22.125,1.75,True,True
TI-05,T2,True,21.75,19.75,2.0,True,True
TI-05,T3,True,23.625,22.125,1.5,True,True
TI-06,T1,False,24.0,22.25,1.75,True,False
TI-06,T2,False,22.125,19.875,2.25,True,False
TI-06,T3,False,23.75,22.25,1.5,True,False
TI-07,T1,True,23.5,21.5,2.0,True,True
TI-07,T2,True,21.625,19.75,1.875,True,True
TI-07,T3,True,23.5,22.25,1.25,True,True
TI-08,T1,False,24.25,22.125,2.125,True,False
TI-08,T2,False,23.0,20.75,2.25,True,False
TI-08,T3,False,23.875,22.375,1.5,True,False
